ccf_ap	ccf_dv	ccf_lr	allen_ontology
7735.3	4656.4	2517.1	root
7754.1	4656.4	2543	root
7730.8	4637.3	2500.6	root
7749.6	4637.3	2526.5	root
7745.1	4618.2	2510.1	root
7763.8	4618.2	2536	root
7740.5	4599.2	2493.6	root
7759.3	4599.2	2519.5	root
7754.8	4580.1	2503	root
7773.6	4580.1	2528.9	root
7750.3	4561	2486.5	root
7769.1	4561	2512.4	root
7764.5	4541.9	2495.9	root
7783.3	4541.9	2521.8	root
7760	4522.9	2479.4	root
7778.8	4522.9	2505.3	root
7774.3	4503.8	2488.9	root
7793.1	4503.8	2514.8	root
7769.8	4484.7	2472.4	root
7788.6	4484.7	2498.3	root
7784	4465.6	2481.8	root
7802.8	4465.6	2507.7	root
7779.5	4446.6	2465.3	root
7798.3	4446.6	2491.2	root
7793.8	4427.5	2474.7	root
7812.6	4427.5	2500.6	root
7789.3	4408.4	2458.2	root
7808	4408.4	2484.1	root
7803.5	4389.3	2467.7	root
7822.3	4389.3	2493.6	root
7799	4370.3	2451.2	root
7817.8	4370.3	2477.1	root
7813.3	4351.2	2460.6	root
7832.1	4351.2	2486.5	root
7808.8	4332.1	2444.1	root
7827.5	4332.1	2470	root
7841.8	4313.1	2479.4	root
7818.5	4294	2437	root
7837.3	4294	2462.9	root
7832.8	4274.9	2446.5	root
7851.5	4274.9	2472.4	root
7828.2	4255.8	2430	root
7847	4255.8	2455.9	root
7842.5	4236.8	2439.4	root
7861.3	4236.8	2465.3	root
7838	4217.7	2422.9	root
7856.8	4217.7	2448.8	root
7852.3	4198.6	2432.3	root
7871	4198.6	2458.2	root
7847.7	4179.5	2415.8	root
7866.5	4179.5	2441.7	root
7862	4160.5	2425.3	root
7880.8	4160.5	2451.2	root
7857.5	4141.4	2408.8	root
7876.3	4141.4	2434.7	root
7871.7	4122.3	2418.2	root
7890.5	4122.3	2444.1	root
7867.2	4103.3	2401.7	root
7886	4103.3	2427.6	root
7881.5	4084.2	2411.1	root
7900.3	4084.2	2437	root
7877	4065.1	2394.6	root
7895.8	4065.1	2420.5	root
7891.2	4046	2404.1	root
7910	4046	2430	root
7886.7	4027	2387.6	root
7905.5	4027	2413.5	root
7901	4007.9	2397	root
7919.8	4007.9	2422.9	root
7896.5	3988.8	2380.5	root
7915.2	3988.8	2406.4	root
7910.7	3969.7	2389.9	root
7929.5	3969.7	2415.8	root
7906.2	3950.7	2373.4	root
7920.5	3931.6	2382.9	root
7939.3	3931.6	2408.8	root
7915.9	3912.5	2366.4	root
7934.7	3912.5	2392.3	root
7930.2	3893.5	2375.8	root
7949	3893.5	2401.7	root
7925.7	3874.4	2359.3	root
7944.5	3874.4	2385.2	root
7940	3855.3	2368.7	root
7958.7	3855.3	2394.6	root
7935.4	3836.2	2352.2	root
7954.2	3836.2	2378.2	root
7949.7	3817.2	2361.7	root
7968.5	3817.2	2387.6	root
7945.2	3798.1	2345.2	root
7964	3798.1	2371.1	root
7959.4	3779	2354.6	root
7978.2	3779	2380.5	root
7954.9	3759.9	2338.1	root
7973.7	3759.9	2364	root
7969.2	3740.9	2347.5	root
7988	3740.9	2373.4	root
7964.7	3721.8	2331	root
7983.5	3721.8	2357	root
7978.9	3702.7	2340.5	root
7997.7	3702.7	2366.4	root
7974.4	3683.7	2324	root
7993.2	3683.7	2349.9	root
7988.7	3664.6	2333.4	root
8007.5	3664.6	2359.3	root
7984.2	3645.5	2316.9	root
8002.9	3645.5	2342.8	root
7998.4	3626.4	2326.3	root
8017.2	3626.4	2352.2	root
7993.9	3607.4	2309.8	root
8012.7	3607.4	2335.8	root
8027	3588.3	2345.2	root
8003.7	3569.2	2302.8	root
8022.4	3569.2	2328.7	root
8017.9	3550.1	2312.2	root
8036.7	3550.1	2338.1	root
8013.4	3531.1	2295.7	root
